"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"khm","khm-h","Khmer","Central Khmer","","ebible.org","ព្រះគម្ពីរខ្មែរបកប្រែចាស់ ១៩៥៤","The Holy Bible in the Cambodian dialect of the Khmer language, Hammond 1954 translation. This edition omits introductions and footnotes.","False","Copyright © 1954, 1962 Bible Society in Cambodia","1962-01-01","http://ebible.org/khm-h/","39","929","23144","27","260","7957","0","0","0","KHMKHV","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","khmH1962eb","","ltr","False","Hanuman","Khmer Hammond Translation","","Khmer","2011-12-10"
"khs","khs","Kasua","Kasua","","png.bible","Kokolo Kao Tesene Solo","The New Testament in the Kasua language of Papua New Guinea","True","Copyright © 2016 Wycliffe Bible Translators, Inc.","2019-08-11","http://png.bible/khs/","0","0","0","27","260","7851","0","0","0","KHSWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","khs2016eb","","ltr","True","DejaVu Serif","Kasua NT","","Latin","2019-08-11"
"khz","khz","Kalo (Keapara)","Keapara","Kalo","png.bible","VEKAPAWAI VALIGUNA","The New Testament in the Kalo Dialect of the Keapara Language of Papua New Guinea","True","Copyright © 2005 The Bible Society of Papua New Guinea","2012-01-18","http://png.bible/khz/","0","0","0","27","260","7952","0","0","0","KHZPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","khz2005eb","","ltr","True","Andika","Keapara Kalo NT","978-1-5313-0329-7","Latin","2020-10-09"
"kij","kij","Kiriwina","Kilivila","","png.bible","Buki Pilabumaboma Kabutubogwa Deli Kabutuvau","Kilivila: Buki Pilabumaboma Kabutubogwa Deli Kabutuvau Bible","True","Copyright © 1984 Bible Society of Papua New Guinea","2022-03-04","http://png.bible/kij/","39","929","22253","27","260","7919","0","0","0","KIJPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kij1984eb","","ltr","True","DejaVu Serif","Kilivila: Buki Pilabumaboma Kabutubogwa Deli Kabutuvau Bible","","Latin","2022-03-05"
"kik","kik","Kikuyu","Gikuyu","","ebible.org","Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre","Gikuyu: Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre (Bible) of Kenya","True","Copyright © 2013 Biblica, Inc.","2021-11-15","http://ebible.org/kik/","39","929","23145","27","260","7956","0","0","0","KIKBIB","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kik2013eb","","ltr","True","DejaVu Serif","Kikuyu Bible","","Latin","2021-05-18"
"kiw","kiw","Kope","Kiwai, Northeast","Kope","png.bible","Pai meai Ruka-ro iꞌati emerai-ka","The Gospel of Luke in the Kope dialect of the Northeast Kiwai language of Papua New Guinea","True","Copyright © 2022 Wycliffe Bible Translators, Inc.","2023-07-05","http://png.bible/kiw/","0","0","0","1","24","1143","0","0","0","KIWWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kiw2022eb","","ltr","True","DejaVu Serif","Kope Luke","","Latin","2022-08-18"
"kiz","kiz","Kese","Kisi","","ebible.org","Kisi Bible","The New Testament in the Kisi language of Tanzania","True","Copyright © 2020 Door 43 International Mission Community","2020-07-31","http://ebible.org/kiz/","0","0","0","27","260","7943","0","0","0","KIZULB","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kiz2020eb","","ltr","True","DejaVu Serif","Kisi NT","","Latin","2020-07-29"
"kje","kjeNT","Kisar","Kisar","","ebible.org","Makromod lalap lirna wawan","New Testament in Kisar","True","Copyright © 2008 Yayasan Sumber Sejahtera","2022-03-11","http://ebible.org/kjeNT/","0","0","0","27","260","7843","0","0","0","KJEWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kje2008eb","","ltr","True","Gentium","Kisar NT","978-1-5313-0330-3","Latin","2014-04-28"
"kjl","kjl","Kham, Western Parbate","Kham, Western Parbate","","ebible.org","साःरो बाचा","Kham, Western Parbate: साःरो बाचा (New Testament)","False","Copyright © 2015 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kjl/","0","0","0","27","260","7934","0","0","0","KJLWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kjl2015eb","","ltr","True","DejaVu Serif","Magar Kham NT","","Devanagari","2020-11-19"
"kjn","kjn","Guguminjen","Kunjen","Oykangand","ebible.org","Kunjen Mark Portions","Portions of the Gospel According to Mark in the Kunjen language of Australia","True","Copyright © 1967 Wycliffe Bible Translators Australia","2020-08-26","http://ebible.org/kjn/","0","0","0","1","6","25","0","0","0","KJNWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kjn1967eb","","ltr","True","DejaVu Serif","Kunjen Mark Portions","","Latin","2020-08-27"
"kjs","kjs","East Kewa","East Kewa","","png.bible","Gotena Epe Agale","The New Testament in the East Kewa Language of Papua New Guinea","True","Copyright © 2004 Wycliffe Bible Translators, Inc.","2012-01-18","http://png.bible/kjs/","0","0","0","27","260","7918","0","0","0","KJSWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kjs2004eb","","ltr","True","Andika","East Kewa NT","978-1-5313-0331-0","Latin","2020-10-09"
"kkc","kkc","Odoodee","Odoodee","","png.bible","Godeeyo To Tekepo","Portions of the New Testament in the Odoodee language of Papua New Guinea","True","Copyright © 2006, 2015, 2017 Wycliffe Bible Translators, Inc.","2023-04-30","http://png.bible/kkc/","0","0","0","17","168","5720","0","0","0","KKCWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kkc2006eb","","ltr","True","Andika","Odoodee partial NT","978-1-5313-0332-7","Latin","2017-06-30"
"kkj","kkj","Kako","Kako","","ebible.org","Mɛlɛpi mɛ Njambiyɛ Jɔnja Mbon","Kako: Mɛlɛpi mɛ Njambiyɛ Jɔnja Mbon New Testament","False","Copyright © 1999 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kkj/","0","0","0","27","260","7946","0","0","0","KKJWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kkj1999eb","","ltr","True","DejaVu Serif","Kako NT","","Latin","2020-11-19"
"kkl","kkl","Mek Kosarek","Yale, Kosarek","","ebible.org","Allah Yubu","Portions of the Holy Bible in the Mek Kosarek language of Papua Province, Indonesia","True","Copyright © 2015 Wycliffe Bible Translators, Inc.","2015-09-05","http://ebible.org/kkl/","2","54","1480","10","71","2044","0","0","0","KKLWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kkl2015eb","","ltr","True","Gentium","Mek Kosarek Bible","978-1-5313-0333-4","Latin","2020-10-09"
"kky","kky","Gugu Yimidhirr","Guugu Yimidhirr","","ebible.org","Matthew sample","9 verses of the Gospel According to Matthew in the Gugu Yimidhirr language of Australia","True","public domain","2021-11-23","http://ebible.org/kky/","0","0","0","1","1","9","0","0","0","KKYLAA","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kky1888eb","","ltr","True","DejaVu Serif","Gugu Yimidhirr Matthew Sample","","Latin","2021-11-24"
"kld","kld","Gamilaraay","Gamilaraay","","ebible.org","GURRE KAMILAROI","Story book in the Gamilaraay language of Australia","True","public domain","2021-11-23","http://ebible.org/kld/","0","0","0","0","0","0","0","0","0","KLDPDT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kld1839eb","","ltr","True","DejaVu Serif","KAMILAROI SAYINGS","","Latin","2021-11-24"
"klt","klt","Nukna","Nukna","","png.bible","Miti yan Papia","Portions of the Holy Bible in the Nukna Language of Papua New Guinea","True","Copyright © 2013, 2017, 2020 Wycliffe Bible Translators, Inc.","2017-11-24","http://png.bible/klt/","1","4","85","13","110","3687","0","0","0","KLTWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","klt2013eb","","ltr","True","Gentium","Nukna Bible","978-1-5313-0334-1","Latin","2022-08-19"
"klv","klv","Maskelynes","Maskelynes","","ebible.org","Nasoruan siGot len nasoruan ta Uluveu","The New Testament in the Maskelynes language of Uluveu, Vanuatu","True","Copyright © 2013 Wycliffe Bible Translators, Inc.","2022-03-11","http://ebible.org/klv/","0","0","0","27","260","7912","0","0","0","KLVWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","klv2013eb","","ltr","True","Gentium","Maskelynes NT","978-1-5313-0335-8","Latin","2020-10-09"
"kma","kma","Konni","Konni","","ebible.org","Ŋmiŋ Nuahaalɩŋ Gbanɩŋ Kɔmɩŋ","Konni NT (Ghana)","False","Copyright © 2004-2019 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kma/","0","0","0","27","260","7948","0","0","0","KMAWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kma2019eb","","ltr","True","DejaVu Serif","Konni NT (Ghana)","","Latin","2020-11-19"
"kmg","kmg","Kâte","Kate","","png.bible","Kâte Bible","The Holy Bible in the Kâte language of Papua New Guinea","True","Copyright © 1978 The Bible Society of Papua New Guinea","2023-02-09","http://png.bible/kmg/","0","0","0","25","214","6158","0","0","0","KMGPNG","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmg1978eb","","ltr","True","Andika","Kâte NT","978-1-5313-0336-5","Latin","2013-07-15"
"kmh","kmh","Kalam","Kalam","central","png.bible","Kalam Baybol Buk Gor minim nuk kisin angayak","The New Testament in the Kalam Language of Papua New Guinea","True","Copyright © 1992 Wycliffe Bible Translators, Inc.","2015-01-06","http://png.bible/kmh/","0","0","0","27","260","7438","0","0","0","KMHKAL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmh1992eb","","ltr","True","Andika","Kalam NT","978-1-5313-0337-2","Latin","2020-10-09"
"kmh","kmh-m","Minimib","Minimib dialect of Kalam","","png.bible","MƗNƗM KOMIŊ","The New Testament in the Minimib dialect of the Kalam language of Papua New Guinea","True","Copyright © 2008 Wycliffe Bible Translators, Inc.","2013-02-07","http://png.bible/kmh-m/","0","0","0","27","260","7734","0","0","0","KMHMIN","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmhM2008eb","","ltr","True","Andika","Minimib NT","978-1-5313-0338-9","Latin","2020-10-09"
"kmk","kmk","Limos Kalinga","Kalinga, Limos","","ebible.org","Ugud apudyus = Ti baro tulag","New Testament in Kalinga, Limos","True","Copyright © 2003 Wycliffe Bible Translators, Inc.","2015-03-17","http://ebible.org/kmk/","0","0","0","27","260","7915","0","0","0","KMKWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmk2003eb","","ltr","True","Gentium","Limos Kalinga NT","978-1-5313-0339-6","Latin","2015-03-18"
"kmo","kmo","Washkuk","Kwoma","Kwoma or Washkuk","png.bible","GOD RIITI MAJI KEPI","The New Testament in the Washkuk Language, also known as the Kwoma Language, of Papua New Guinea","True","Copyright © 1974 Wycliffe Bible Translators, Inc.","2013-01-08","http://png.bible/kmo/","0","0","0","27","260","7851","0","0","0","KMOBIL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmo1974eb","","ltr","True","Andika","Washkuk NT","978-1-5313-0340-2","Latin","2020-10-09"
"kms","kms","Kamasau","Kamasau","","png.bible","Yumbui Ningg Wand Yuwon Ye","The New Testament in the Kamasau Language of Papua New Guinea","True","Copyright © 1998 Bible Society of Papua New Guinea","2012-01-18","http://png.bible/kms/","0","0","0","27","260","7870","0","0","0","KMSPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kms1998eb","","ltr","True","Andika","Kamasau NT","978-1-5313-0341-9","Latin","2020-10-09"
"kmu","kmu","Kanite","Kanite","","png.bible","Anumayamo'a Haegafa Alino Hagelafilatenea Kea","The New Testament in the Kanite Language of Papua New Guinea","True","Copyright © 2002 Wycliffe Bible Translators, Inc.","2021-04-21","http://png.bible/kmu/","0","0","0","27","260","7546","0","0","0","KMUTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kmu2002eb","","ltr","True","Andika","Kanite NT","978-1-5313-0342-6","Latin","2012-12-14"
"knb","knb","Kalinga, Lubuagan","Kalinga, Lubuagan","","ebible.org","Ha Ugud Apudyus","Kalinga, Lubuagan: Ha Ugud Apudyus (New Testament)","False","Copyright © 2019 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/knb/","0","0","0","27","260","7905","0","0","0","KNBWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","knb2019eb","","ltr","True","DejaVu Serif","Lubuagan Kalinga NT","","Latin","2020-11-19"
"kne","kne","Kankanaey","Kankanaey","","ebible.org","Kankanaey Bible","The Holy Bible in the Kankanaey language of the Republic of the Philippines","True","Copyright © 2016 Wycliffe Bible Translators of Canada, Inc.","2016-06-08","http://ebible.org/kne/","35","913","22684","27","260","7858","0","0","0","KNEWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kne2016eb","00000","ltr","True","Gentium","Kankanaey Bible","978-1-5313-0765-3","Latin","2016-06-08"
"knf","knf","Mankanya","Mankanya","","ebible.org","Ulibra wi Naşibaţi","New Testament and Shorter Old Testament in Mankanya","True","Copyright © 2014 Wycliffe Bible Translators, Inc.","2015-03-17","http://ebible.org/knf/","1","50","1530","27","260","7935","0","0","0","KNFWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","knf2014eb","","ltr","True","Gentium","Mankanya NT and partial OT","978-1-5313-0343-3","Latin","2015-03-18"
"knj","knjNT","Akateko","Akateko","","ebible.org","Ja' An Nuevo Testamento","New Testament in Akateko (GT:knj:Akateko)","True","Copyright © 2012 Wycliffe Bible Translators, Inc.","2014-04-21","http://ebible.org/knjNT/","0","0","0","27","260","7922","0","0","0","KNJWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","knj2012eb","","ltr","True","Gentium","Akateko NT","978-1-5313-0344-0","Latin","2014-04-22"
"knv","knv-aramia","Tabo (Aramia)","Tabo","Aramia River","png.bible","GODOKONO HIDO TABO","The New Testament in the Tabo Language, Aramia Dialect, of Papua New Guinea","True","Copyright © 2006, 2023 The Bible Society of Papua New Guinea and Wycliffe Bible Translators, Inc.","2024-03-05","http://png.bible/knv-aramia/","0","0","0","27","260","7799","0","0","0","KNVARA","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","knvA2006eb","17012","ltr","True","Andika","Tabo Aramia NT","978-1-5313-0345-7","Latin","2024-03-05"
"knv","knv-fly_river","Tabo (Fly River)","Tabo","Fly River","png.bible","GODOKONO WADE TABO","The New Testament in the Fly River dialect of the Tabo language of Papua New Guinea","True","Copyright © 2006, 2023 The Bible Society of Papua New Guinea and Wycliffe Bible Translators, Inc.","2024-03-04","http://png.bible/knv-fly_river/","0","0","0","27","260","7799","0","0","0","KNVPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","knvF2006eb","17013","ltr","True","Andika","Tabo Fly River NT","978-1-5313-0346-4","Latin","2024-03-04"
"kog","kog","Kogi","Kogi","","ebible.org","Jatetshi múldigaba","Kogi: Jatetshi múldigaba New Testament","False","Copyright © 2015 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kog/","0","0","0","27","260","7939","0","0","0","KOGWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kog2015eb","","ltr","True","DejaVu Serif","Kogi NT","","Latin","2020-11-19"
"kos","kos","Kosrae","Kosraean","","ebible.org","BIBLE MUTAL","The Holy Bible in the Kosraean language of the Federated States of Micronesia","True","public domain","2024-02-09","http://ebible.org/kos/","39","929","22988","27","260","7958","0","0","0","KOSPUB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kos1928eb","","ltr","True","DejaVu Serif","Kosraean Bible","","Latin","2024-02-09"
"kpf","kpf","Komba","Komba","","png.bible","SIŊGI ÂLIP EKAP","The New Testament in the Komba Language of Papua New Guinea","True","Copyright © 1980 Wycliffe Bible Translators, Inc.","2015-01-06","http://png.bible/kpf/","0","0","0","27","260","7864","0","0","0","KPFPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpf1980eb","","ltr","True","Andika","Komba NT","978-1-5313-0347-1","Latin","2020-10-09"
"kpg","kpg","Kapingamarangi","Kapingamarangi","","ebible.org","Beebaa Dabu","The Holy Bible in the Kapingamarangi language of the Federated States of Micronesia, spoken on the Kapingamarangi and Ponape islands, Caroline Islands","True","Copyright © 1996, 2014 The Kapingamarangi Bible translation committee","2015-04-24","http://ebible.org/kpg/","39","929","22303","27","260","7937","0","0","0","KPGKPT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpg2014eb","","ltr","True","Gentium Plus","Kapingamarangi Bible","978-1-5313-0348-8","Latin","2015-07-15"
"kpj","kpjNT","Karajá","Karajá","","ebible.org","Deuxu Rybe Tyyriti","New Testament in Karajá (BR:kpj:Karajá)","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2014-04-27","http://ebible.org/kpjNT/","0","0","0","27","260","7653","0","0","0","KPJWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpj2011eb","","ltr","True","Gentium","Karajá NT","978-1-5313-0349-5","Latin","2014-04-28"
"kpr","kpr","Korafe-Yegha","Korafe","Yegha","png.bible","God Da Geka Seka","The New Testament and Psalms in the Korafe-Yegha Language of Oro Province, Papua New Guinea","True","Copyright © 1984, 2023 Wycliffe Bible Translators, Inc.","2023-09-23","http://png.bible/kpr/","1","150","2422","27","260","7643","0","0","0","KPRTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpr1984eb","","ltr","True","Andika","Korafe NT+Psalms","978-1-5313-0350-1","Latin","2023-09-23"
"kpw","kpw","Kobon","Kobon","","png.bible","Manö Kamɨŋ","The New Testament in the Kobon Language of Papua New Guinea","True","Copyright © 2005 The Bible Society of Papua New Guinea","2015-01-26","http://png.bible/kpw/","0","0","0","27","260","7732","0","0","0","KPWPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpw2005eb","","ltr","True","Andika","Kobon NT","978-1-5313-0351-8","Latin","2020-10-09"
"kpx","kpx","Mountain Koiali","Koiali, Mountain","","png.bible","Buka Tumute","The New Testament in the Mountain Koiali Language of Papua New Guinea","True","Copyright © 1981 Wycliffe Bible Translators, Inc.","2015-01-26","http://png.bible/kpx/","0","0","0","27","260","7814","0","0","0","KPXTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kpx1981eb","","ltr","True","Andika","Mountain Koiali NT","978-1-5313-0352-5","Latin","2020-10-09"
"kqa","kqa","Mum","Mum","","png.bible","Mum Language NT Portions","Portions of the New Testament in the Mum language of Papua New Guinea","True","Copyright © 2017 Pioneer Bible Translators","2022-06-21","http://png.bible/kqa/","0","0","0","1","28","1046","0","0","0","KQAPBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kqa2017eb","","ltr","True","DejaVu Serif","Mum NT Portions","","Latin","2019-12-30"
"kqc","kqc","Doromu-Koki","Doromu-Koki","","png.bible","Sei di Uka Ago Ruaka","Ruth and the New Testament in the Doromu-Koki Language of Papua New Guinea","True","Copyright © 2011-2016 Wycliffe Bible Translators, Inc.","2017-03-15","http://png.bible/kqc/","1","4","85","27","260","7943","0","0","0","KQCWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kqc2013eb","","ltr","True","Andika","Doromu-Koki Bible","978-1-5313-0353-2","Latin","2020-10-09"
"kqe","kqe","Kalagan","Kalagan","Eastern","ebible.org","Kalagan","Kalagan: Kalagan (New Testament)","False","Copyright © 2012-2019 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kqe/","0","0","0","27","260","7934","0","0","0","KQEWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kqe2012eb","","ltr","True","DejaVu Serif","Eastern Kalagan NT","","Latin","2020-11-19"
"kqe","kqew","Kalagan","Kalagan","","ebible.org","Kitab Injil","Kalagan: Kitab Injil (New Testament)","False","Copyright © 2019 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kqew/","0","0","0","27","260","7934","0","0","0","KQEWWB","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kqew2019eb","","ltr","True","DejaVu Serif","Western Kalagan NT","","Latin","2020-11-19"
"kqf","kqf","Kakabai","Kakabai","","png.bible","Giu visuvisuna","Portions of the Holy Bible in the Kakabai language of Papua New Guinea","True","Copyright © 2010-2023 Wycliffe Bible Translators, Inc.","2024-07-09","http://png.bible/kqf/","0","0","0","5","117","4742","0","0","0","KQFWBT","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kqf2016eb","","ltr","True","Andika","Kakabai Bible portions","978-1-5313-0354-9","Latin","2024-07-09"
"kql","kql","Kyenele","Kyenele","","png.bible","Mak Kiañiŋ Balaŋ","Kyenele: Mak Kiañiŋ Balaŋ Portions","True","Copyright © 1992 Pioneer Bible Translators","2022-06-21","http://png.bible/kql/","0","0","0","1","16","667","0","0","0","KQLPBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kql1992eb","","ltr","True","DejaVu Serif","Kyenele Mark","","Latin","2018-02-07"
"kqp","kqp","Kimré","Kimré","","ebible.org","Magtubu tôô toɲ biɲare to kôrbi","Kimré: Magtubu tôô toɲ biɲare to kôrbi New Testament","False","Copyright © 2007 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/kqp/","0","0","0","27","260","7945","0","0","0","KQPWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","kqp2007eb","","ltr","True","DejaVu Serif","Kimré: Magtubu tôô toɲ biɲare to kôrbi New Testament","","Latin","2020-11-19"
"kqw","kqw","Kandas","Kandas","","png.bible","Buk Baibel long tokples Kandas","Portions of the New Testament in the Kandas Language of Papua New Guinea","True","Copyright © 2011-2019 Wycliffe Bible Translators, Inc.","2019-04-02","http://png.bible/kqw/","0","0","0","10","92","3119","0","0","0","KQWWIN","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kqw2012eb","","ltr","True","Andika","Kandas NT","978-1-5313-0355-6","Latin","2012-09-28"
"krj","krj","Kinaray-a","Kinaray-a","","ebible.org","Kinaray-a NT","Kinaray-a: Kinaray-a NT New Testament","False","Copyright © 2009 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/krj/","0","0","0","27","260","7957","0","0","0","KRJWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","krj2009eb","","ltr","True","DejaVu Serif","Kinaray-a NT","","Latin","2020-11-19"
"krx","krx","Karon","Karon","","ebible.org","Kuloonaay","Karon: Kuloonaay (Portions)","False","Copyright © 2018 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/krx/","0","0","0","1","24","1144","0","0","0","KRXWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","krx2018eb","","ltr","True","DejaVu Serif","Kuloonaay Luke","","Latin","2020-11-19"
"ksc","ksc","Kalinga, Southern","Kalinga, Southern","","ebible.org","Na ukud Apudyus","Kalinga, Southern: Na ukud Apudyus New Testament","False","Copyright © 1986 Wycliffe Bible Translators, Inc.","2020-12-01","http://ebible.org/ksc/","0","0","0","27","260","7894","0","0","0","KSCWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","ksc1986eb","","ltr","True","DejaVu Serif","Kalinga, Southern: Na ukud Apudyus New Testament","","Arabic","2020-12-01"
"ksd","ksd","Kuanua or Tinata Tuna or Tolai","Kauana","","png.bible","A BUK TABU A MAULANA KUNUBU ma A KALAMANA KUNUBU","The Holy Bible in the Kuanua language of Papua New Guinea","True","Copyright © 1882-1983 Bible Society of Papua New Guinea","2015-01-26","http://png.bible/ksd/","39","929","23137","27","260","7958","0","0","0","KSDPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ksd1983eb","","ltr","True","Andika","Kauana Bible","978-1-5313-0356-3","Latin","2020-10-09"
"ksj","ksj","Uare","Uare","","png.bible","Uare Bible","Portions of the New Testament in the Uare language of Papua New Guinea","True","Copyright © 2017 Wycliffe Bible Translators, Inc.","2017-05-15","http://png.bible/ksj/","0","0","0","8","112","4209","0","0","0","KSJWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ksj2017eb","00550","ltr","True","DejaVu Serif","Uare NT","978-1-5313-0357-0","Latin","2021-11-30"
"ksp","ksp","Kabba","Kabba","","ebible.org","Tar le Lubba ke tar Kabba","Kaba: Tar le Lubba ke tar Kabba Bible","False","Copyright © 2015 Wycliffe Bible Translators, Inc.","2020-11-18","http://ebible.org/ksp/","3","18","297","8","131","4551","0","0","0","KSPWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","ksp2015eb","","ltr","True","DejaVu Serif","Kaba Bible","","Latin","2020-11-19"
"ksr","ksr","Borong","Borong","","png.bible","Uumeleembaa Buŋa Tere Soomoŋgo Gbilia","The New Testament  and portions of the Old Testament in the Borong Language of Papua New Guinea","True","Copyright © 2002, 2011 The Bible Society of Papua New Guinea","2015-01-26","http://png.bible/ksr/","3","58","1661","27","260","7937","0","0","0","KSRPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ksr2011eb","","ltr","True","Andika","Borong NT + OT portions","978-1-5313-0358-7","Latin","2020-10-09"
"ktj","ktj","Krumen, Plapo","Krumen, Plapo","","ebible.org","Nyɩsʋa a ꞊haanttie","Krumen, Plapo: Nyɩsʋa a ꞊haanttie New Testament","False","Copyright © 2003 Wycliffe Bible Translators, Inc.","2020-11-30","http://ebible.org/ktj/","0","0","0","27","260","7874","0","0","0","KTJWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","ktj2003eb","","ltr","True","DejaVu Serif","Plapo Krumen NT","","Latin","2020-12-01"
"ktm","ktm","Kurti","Kurti","","png.bible","Kurti Baibel","Genesis, Mark, Galatians, and 1 Timothy in the Kurti Language of Manus Province, Papua New Guinea","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2016-09-13","http://png.bible/ktm/","1","50","1506","3","28","919","0","0","0","KTMWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ktm2011eb","","ltr","True","Gentium","Kurti Scripture Portions","978-1-5313-0829-2","Latin","2020-10-09"
"kto","kto","Kuot","Kuot","","png.bible","Bais Ula Mumuru Aime Iesu","The New Testament in the Kuot Language of Papua New Guinea","True","Copyright © 2001 Wycliffe Bible Translators, Inc.","2013-01-08","http://png.bible/kto/","0","0","0","27","260","7815","0","0","0","KTOPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","kto2001eb","","ltr","True","Andika","Kuot NT","978-1-5313-0359-4","Latin","2020-10-09"
